endpoint_id,endpoint,method,service,version_path,auth_scheme,schema_count,deprecated_flag,tags,seed_source
0,/v1/accounts/{accountId}/statement,GET,core-banking,1,none,0,0,Version 2,swagger.yaml
1,/v1/cards/{cardId}/freeze,POST,wealth,1,none,0,0,Version 2,swagger.yaml
2,/v1/upi/mandate,GET,aa-bridge,1,none,0,0,Version 2,swagger.yaml
3,/v1/beneficiaries,GET,wealth,1,none,0,0,Version 3,swagger.yaml
4,/v1/kyc/pan,POST,loans,1,none,0,0,Version 3,swagger.yaml
5,/v1/accounts/{accountId}/transactions,GET,aa-bridge,1,none,0,0,Version 3,swagger.yaml
6,/v1/upi/pay,GET,audit,1,none,27,0,UK,ideal-postcodes.co.uk.json
7,/v1/customers/{customerId}/preferences,GET,wealth,1,none,24,0,Address Search,ideal-postcodes.co.uk.json
8,/v1/loans/{loanId}/repayment,GET,cards,1,none,3,0,Address Search,ideal-postcodes.co.uk.json
9,/v2/accounts/{accountId}/balance,GET,audit,2,none,3,0,Address Search,ideal-postcodes.co.uk.json
10,/v1/cards/issue,POST,notifications,1,none,5,0,UK,ideal-postcodes.co.uk.json
11,/v2/accounts/{accountId}/balance,GET,wealth,2,none,3,0,Emails,ideal-postcodes.co.uk.json
12,/v1/aa/data,GET,payments,1,none,3,0,Keys,ideal-postcodes.co.uk.json
13,/v1/fd/book,GET,aa-bridge,1,none,5,0,Configs,ideal-postcodes.co.uk.json
14,/v1/kyc/verify,POST,payments,1,none,6,0,Configs,ideal-postcodes.co.uk.json
15,/v1/loans/{loanId}/schedule,DELETE,loans,1,none,6,0,Configs,ideal-postcodes.co.uk.json
16,/v1/accounts/{accountId}/holds,GET,forex,1,none,5,0,Configs,ideal-postcodes.co.uk.json
17,/v2/upi/pay,POST,cards,2,none,8,0,Configs,ideal-postcodes.co.uk.json
18,/v2/transfers/imps,GET,forex,2,none,4,0,Keys,ideal-postcodes.co.uk.json
19,/v2/accounts/{accountId}/balance,GET,forex,2,none,5,0,Licensees,ideal-postcodes.co.uk.json
20,/v1/upi/vpa/verify,POST,core-banking,1,none,5,0,Licensees,ideal-postcodes.co.uk.json
21,/v1/transfers/swift,DELETE,forex,1,none,4,0,Licensees,ideal-postcodes.co.uk.json
22,/v2/accounts/{accountId}/balance,GET,audit,2,none,5,0,Licensees,ideal-postcodes.co.uk.json
23,/v1/transfers/rtgs,PUT,wealth,1,none,6,0,Licensees,ideal-postcodes.co.uk.json
24,/v1/customers/{customerId}/preferences,GET,payments,1,none,5,0,Keys,ideal-postcodes.co.uk.json
25,/v1/transfers/rtgs,GET,kyc,1,none,7,0,Keys,ideal-postcodes.co.uk.json
26,/v1/customers/{customerId}/preferences,GET,kyc,1,none,3,0,Phone Numbers,ideal-postcodes.co.uk.json
27,/v1/loans/eligibility,GET,kyc,1,none,7,0,Place Search,ideal-postcodes.co.uk.json
28,/v1/aa/fip/discover,GET,notifications,1,none,3,0,Place Search,ideal-postcodes.co.uk.json
29,/v1/kyc/verify,GET,forex,1,none,7,0,UK,ideal-postcodes.co.uk.json
30,/v1/kyc/verify,GET,forex,1,none,4,0,UK,ideal-postcodes.co.uk.json
31,/v1/customers/{customerId}/documents,GET,cards,1,none,4,0,UK,ideal-postcodes.co.uk.json
32,/v1/forex/book,GET,cards,1,oauth2,1,0,customers,googleapis.com_searchads360.json
33,/v1/customers/{customerId}/profile,POST,audit,1,oauth2,2,0,customers,googleapis.com_searchads360.json
34,/v2/upi/pay,POST,aa-bridge,2,oauth2,2,0,customers,googleapis.com_searchads360.json
35,/v1/accounts/{accountId}/balance,POST,audit,1,oauth2,2,0,searchAds360Fields,googleapis.com_searchads360.json
36,/v1/cards/issue,GET,forex,1,oauth2,1,0,searchAds360Fields,googleapis.com_searchads360.json
37,/v1/accounts/{accountId}/holds,POST,audit,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
38,/v1/loans/{loanId}/schedule,POST,payments,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
39,/v1/fd/{depositId}/close,POST,aa-bridge,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
40,/v1/audit/logs,POST,notifications,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
41,/v1/upi/mandate,POST,wealth,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
42,/v1/cards/issue,POST,forex,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
43,/v1/upi/mandate,POST,cards,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
44,/v1/loans/apply,POST,notifications,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
45,/v1/customers/{customerId}/preferences,POST,aa-bridge,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
46,/v1/upi/pay,POST,notifications,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
47,/v2/accounts/{accountId}/balance,POST,forex,2,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
48,/v1/upi/vpa/verify,POST,notifications,1,apiKey,0,0,APIs,apisetu.gov.in_edistrictandaman.json
49,/v1/beneficiaries,POST,notifications,1,apiKey,0,0,APIs,apisetu.gov.in_bharatpetroleum.json
50,/v1/loans/apply,GET,audit,1,none,0,0,Version 2,walmart.com_item.json
51,/v1/transfers/neft,POST,aa-bridge,1,none,0,0,Version 2,walmart.com_item.json
52,/v1/fd/{depositId}/close,GET,aa-bridge,1,none,0,0,Version 2,walmart.com_item.json
53,/v1/fd/book,GET,loans,1,none,0,0,Version 3,walmart.com_item.json
