endpoint_id,endpoint,method,service,version_path,auth_scheme,schema_count,deprecated_flag,in_registry,last_seen_days,call_count_7d,auth_fail_rate_7d,p95_latency_ms,last_deploy_days,owner_present,runtime,runtime_version,cve_id,max_cvss,lifecycle_state,is_zombie,is_shadow,risk_score
0,/v1/accounts/{accountId}/statement,GET,core-banking,1,none,0,1,1,0,389,0.0138,328,322,1,golang,1.21,CVE-2024-24784,6.5,deprecated,0,0,34.26
1,/v1/cards/{cardId}/freeze,POST,wealth,1,none,0,0,1,76,11,0.1976,265,426,1,python,3.11,CVE-2024-0397,5.9,orphaned,0,0,38.27
2,/v1/upi/mandate,GET,aa-bridge,1,none,0,1,1,8,111,0.0358,658,609,1,golang,1.19,CVE-2023-29406,6.5,deprecated,0,0,38.76
3,/v1/beneficiaries,GET,wealth,1,http:bearer,0,0,1,0,10963,0.014,214,17,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,21.95
4,/v1/kyc/pan,POST,loans,1,http:basic|http:bearer,0,0,1,1,6838,0.0072,216,38,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,19.1
5,/v1/accounts/{accountId}/transactions,GET,aa-bridge,1,none,0,1,1,14,203,0.0039,400,550,1,dotnet,6.0,CVE-2024-21386,7.5,deprecated,0,0,34.49
6,/v1/upi/pay,GET,audit,1,http:basic|http:bearer,27,0,1,2,15435,0.0155,80,54,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,24.06
7,/v1/customers/{customerId}/preferences,GET,wealth,1,apiKey,24,0,1,2,24409,0.0033,221,13,1,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,19.1
8,/v1/loans/{loanId}/repayment,GET,cards,1,none,3,1,1,2,283,0.0365,267,653,1,golang,1.21,CVE-2024-24784,6.5,deprecated,0,0,33.64
9,/v2/accounts/{accountId}/balance,GET,audit,2,none,3,0,1,35,87,0.1311,1773,479,0,springboot,2.5.0,CVE-2022-22965,9.8,orphaned,0,0,62.35
10,/v1/cards/issue,POST,notifications,1,none,5,1,1,1,11773,0.0253,1361,1009,0,python,3.9,CVE-2023-40217,5.3,orphaned,1,0,69.29
11,/internal/accounts/{accountId}/balance,GET,wealth,2,none,0,0,0,7,1220,0.206,555,71,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,1,81.62
12,/v1/aa/data,GET,payments,1,none,3,1,1,1,14861,0.0375,483,1408,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,76.31
13,/v1/fd/book,GET,aa-bridge,1,http:bearer,5,0,1,2,10984,0.1394,256,38,1,python,3.9,CVE-2023-40217,5.3,active,0,0,6.99
14,/internal/kyc/verify,POST,payments,1,none,0,0,0,0,988,0.3727,1149,34,0,nodejs,20.11,CVE-2024-21892,7.8,orphaned,0,1,82.22
15,/v1/loans/{loanId}/schedule,DELETE,loans,1,apiKey,6,0,1,1,712,0.0191,174,32,1,python,3.11,CVE-2024-0397,5.9,active,0,0,10.07
16,/v1/accounts/{accountId}/holds,GET,forex,1,none,5,1,1,1,23937,0.0606,607,678,0,springboot,3.2.0,CVE-2024-22243,6.1,orphaned,1,0,66.34
17,/v2/upi/pay,POST,cards,2,none,8,1,1,2,1309,0.0679,1200,404,0,nodejs,14.21,CVE-2023-30581,8.8,orphaned,1,0,75.93
18,/v2/transfers/imps,GET,forex,2,none,4,0,1,0,5806,0.0786,341,1455,0,springboot,3.2.0,CVE-2024-22243,6.1,orphaned,1,0,70.8
19,/internal/accounts/{accountId}/balance,GET,forex,2,none,0,0,0,2,2221,0.3111,1292,54,0,python,3.11,CVE-2024-0397,5.9,orphaned,0,1,77.72
20,/v1/upi/vpa/verify,POST,core-banking,1,none,5,0,1,46,51,0.2988,1530,1129,0,python,3.11,CVE-2024-0397,5.9,orphaned,0,0,71.08
21,/v1/transfers/swift,DELETE,forex,1,oauth2:implicit,4,0,1,0,15225,0.0013,50,37,1,golang,1.19,CVE-2023-29406,6.5,active,0,0,12.29
22,/v2/accounts/{accountId}/balance,GET,audit,2,oauth2:implicit,5,0,1,2,41859,0.0012,74,57,0,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,30.96
23,/v1/transfers/rtgs,PUT,wealth,1,http:basic|http:bearer,6,0,1,1,14540,0.0108,332,36,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,7.27
24,/v1/customers/{customerId}/preferences,GET,payments,1,none,5,0,1,0,6090,0.0278,1082,1090,0,python,3.9,CVE-2023-40217,5.3,orphaned,1,0,68.99
25,/v1/transfers/rtgs,GET,kyc,1,oauth2:implicit,7,0,1,2,42848,0.002,246,46,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,16.09
26,/v1/customers/{customerId}/preferences,GET,kyc,1,http:basic|http:bearer,3,0,1,2,29900,0.0028,133,17,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,9.53
27,/v1/loans/eligibility,GET,kyc,1,none,7,0,1,2,6208,0.024,1307,395,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,70.39
28,/v1/aa/fip/discover,GET,notifications,1,http:bearer,3,0,1,1,32046,0.0503,245,57,1,python,3.7,CVE-2023-24329,7.5,active,0,0,14.58
29,/internal/kyc/verify,GET,forex,1,none,0,0,0,7,2386,0.2692,1188,84,0,springboot,3.2.0,CVE-2024-22243,6.1,orphaned,0,1,82.35
30,/v1/kyc/verify,GET,forex,1,http:basic|http:bearer,4,0,1,0,38457,0.0147,71,47,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,17.65
31,/v1/customers/{customerId}/documents,GET,cards,1,none,4,1,1,13,281,0.0079,620,262,1,springboot,2.7.18,CVE-2023-20860,7.5,deprecated,0,0,42.2
32,/v1/forex/book,GET,cards,1,oauth2,1,1,1,10,451,0.0118,222,432,1,springboot,2.5.0,CVE-2022-22965,9.8,deprecated,0,0,24.32
33,/v1/customers/{customerId}/profile,POST,audit,1,oauth2,2,1,1,6,346,0.0292,635,503,1,nodejs,14.21,CVE-2023-30581,8.8,deprecated,0,0,18.51
34,/v2/upi/pay,POST,aa-bridge,2,oauth2,2,0,1,47,30,0.1164,468,979,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,0,0,47.16
35,/internal/accounts/{accountId}/balance,POST,audit,1,none,0,0,1,0,3804,0.3485,1203,12,0,python,3.11,CVE-2024-0397,5.9,orphaned,0,1,49.76
36,/internal/cards/issue,GET,forex,1,none,0,0,0,1,2051,0.2478,373,56,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,1,86.52
37,/internal/accounts/{accountId}/holds,POST,audit,1,none,0,0,0,0,4593,0.2198,1408,13,0,springboot,3.2.0,CVE-2024-22243,6.1,orphaned,0,1,71.32
38,/v1/loans/{loanId}/schedule,POST,payments,1,apiKey,0,0,1,2,21128,0.0324,777,796,0,nodejs,14.21,CVE-2023-30581,8.8,orphaned,1,0,55.22
39,/v1/fd/{depositId}/close,POST,aa-bridge,1,apiKey,0,1,1,2,19008,0.0401,304,554,0,nodejs,18.19,CVE-2024-22019,7.5,orphaned,1,0,58.13
40,/v1/audit/logs,POST,notifications,1,apiKey,0,0,1,0,42253,0.0196,122,47,1,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,19.95
41,/v1/upi/mandate,POST,wealth,1,apiKey,0,0,1,0,7831,0.0015,393,57,1,springboot,2.5.0,CVE-2022-22965,9.8,active,0,0,21.09
42,/v1/cards/issue,POST,forex,1,apiKey,0,0,1,2,21105,0.0318,461,450,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,53.79
43,/v1/upi/mandate,POST,cards,1,apiKey,0,0,1,1,14267,0.0136,381,6,1,python,3.11,CVE-2024-0397,5.9,active,0,0,10.9
44,/v1/loans/apply,POST,notifications,1,apiKey,0,1,1,1,23337,0.08,684,697,0,dotnet,8.0,CVE-2024-30045,6.8,orphaned,1,0,51.38
45,/v1/customers/{customerId}/preferences,POST,aa-bridge,1,apiKey,0,0,1,0,48771,0.0185,250,51,1,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,12.65
46,/v1/upi/pay,POST,notifications,1,apiKey,0,1,1,1,8216,0.083,421,1148,0,python,3.9,CVE-2023-40217,5.3,orphaned,1,0,56.62
47,/v2/accounts/{accountId}/balance,POST,forex,2,apiKey,0,1,1,1,14457,0.0444,666,821,1,python,3.7,CVE-2023-24329,7.5,orphaned,1,0,50.27
48,/v1/upi/vpa/verify,POST,notifications,1,apiKey,0,1,1,1,14506,0.0713,1018,1463,0,springboot,2.5.0,CVE-2022-22965,9.8,orphaned,1,0,69.17
49,/internal/beneficiaries,POST,notifications,1,apiKey,0,0,0,2,4806,0.485,593,4,1,nodejs,20.11,CVE-2024-21892,7.8,orphaned,0,1,56.22
50,/v1/loans/apply,GET,audit,1,http:basic|http:bearer,0,0,1,2,34016,0.0023,335,12,1,dotnet,6.0,CVE-2024-21386,7.5,active,0,0,16.83
51,/v1/transfers/neft,POST,aa-bridge,1,http:bearer,0,0,1,2,45513,0.0144,383,12,1,springboot,2.7.18,CVE-2023-20860,7.5,active,0,0,13.77
52,/v1/fd/{depositId}/close,GET,aa-bridge,1,none,0,1,1,10,444,0.0062,407,699,1,python,3.7,CVE-2023-24329,7.5,deprecated,0,0,33.85
53,/v1/fd/book,GET,loans,1,oauth2:implicit,0,0,1,2,19876,0.0111,138,26,1,python,3.7,CVE-2023-24329,7.5,active,0,0,18.76
54,/v1/loans/eligibility,POST,aa-bridge,1,none,0,1,1,4,217,0.0274,100,491,1,python,3.7,CVE-2023-24329,7.5,deprecated,0,0,41.16
55,/v1/upi/mandate,GET,wealth,1,none,0,1,1,2,24453,0.0458,1104,1270,0,python,3.11,CVE-2024-0397,5.9,orphaned,1,0,78.29
56,/internal/upi/pay,GET,core-banking,3,oauth2:implicit,0,0,0,2,744,0.2135,1409,81,0,springboot,2.7.18,CVE-2023-20860,7.5,orphaned,0,1,65.15
57,/v1/cards/{cardId}/freeze,GET,wealth,1,oauth2:implicit,0,0,1,2,13171,0.038,607,666,1,python,3.9,CVE-2023-40217,5.3,orphaned,1,0,37.23
58,/v2/cards/{cardId}/freeze,GET,wealth,2,oauth2:implicit,1,1,1,1,16580,0.0909,1378,763,0,python,3.7,CVE-2023-24329,7.5,orphaned,1,0,62.92
59,/v1/kyc/video,POST,cards,1,oauth2:implicit,2,0,1,2,45564,0.0001,94,49,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,17.57
60,/v1/customers/{customerId}/profile,POST,core-banking,1,oauth2:implicit,2,1,1,2,19972,0.0572,1341,875,0,springboot,2.7.18,CVE-2023-20860,7.5,orphaned,1,0,58.64
61,/v1/transfers/neft,GET,wealth,1,oauth2:implicit,1,0,1,2,20404,0.099,1419,1014,0,python,3.9,CVE-2023-40217,5.3,orphaned,1,0,58.63
62,/v2/cards/{cardId}/freeze,PUT,audit,2,oauth2:implicit,2,0,1,71,54,0.2576,1322,1278,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,0,44.77
63,/v1/upi/pay,GET,payments,1,none,1,1,1,1,11493,0.0801,767,1432,0,nodejs,14.21,CVE-2023-30581,8.8,orphaned,1,0,74.82
64,/v1/customers/{customerId}/documents,GET,core-banking,1,oauth2:implicit,1,0,1,1,15867,0.0054,203,57,1,springboot,3.2.0,CVE-2024-22243,6.1,active,0,0,17.05
65,/v1/aa/data,GET,audit,1,http:basic|http:bearer,1,0,1,2,10514,0.0141,72,26,1,python,3.11,CVE-2024-0397,5.9,active,0,0,19.41
66,/v1/customers/{customerId}/profile,GET,loans,1,http:basic|http:bearer,1,0,1,0,28034,0.0078,339,60,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,14.15
67,/v1/customers/{customerId}/profile,GET,aa-bridge,1,oauth2:implicit,1,0,1,1,20069,0.0151,254,34,1,python,3.11,CVE-2024-0397,5.9,active,0,0,17.76
68,/v1/loans/apply,GET,aa-bridge,1,http:basic|http:bearer,1,0,1,1,29062,0.0097,239,21,1,dotnet,8.0,CVE-2024-30045,6.8,active,0,0,16.01
69,/v2/upi/pay,GET,loans,2,none,1,0,1,66,16,0.2952,1293,420,0,golang,1.19,CVE-2023-29406,6.5,orphaned,0,0,55.78
70,/v1/cards/{cardId}/limit,GET,audit,1,none,1,1,1,0,52,0.0321,238,652,1,nodejs,18.19,CVE-2024-22019,7.5,deprecated,0,0,39.61
71,/v1/accounts/{accountId}/balance,GET,audit,1,http:bearer,1,0,1,0,30299,0.0065,234,17,1,python,3.7,CVE-2023-24329,7.5,active,0,0,23.12
72,/v2/cards/{cardId}/freeze,GET,audit,2,none,1,0,1,1,3635,0.0799,306,1081,0,springboot,2.7.18,CVE-2023-20860,7.5,orphaned,1,0,78.02
73,/v1/customers/{customerId}/profile,GET,payments,1,none,1,0,1,10,31,0.0998,241,677,0,python,3.9,CVE-2023-40217,5.3,orphaned,0,0,59.19
74,/v1/accounts/{accountId}/statement,GET,core-banking,1,none,1,0,1,79,27,0.1663,724,1120,0,golang,1.19,CVE-2023-29406,6.5,orphaned,0,0,46.55
75,/internal/upi/pay,GET,cards,3,none,0,0,0,1,1391,0.4859,271,74,1,golang,1.19,CVE-2023-29406,6.5,orphaned,0,1,82.29
76,/internal/upi/pay,GET,forex,2,none,0,0,0,6,1674,0.1304,1464,80,0,dotnet,6.0,CVE-2024-21386,7.5,orphaned,0,1,81.45
77,/v1/loans/{loanId}/repayment,POST,kyc,1,none,0,0,1,2,29395,0.0297,1359,449,0,python,3.7,CVE-2023-24329,7.5,orphaned,1,0,69.18
78,/v1/customers/{customerId}/preferences,POST,payments,1,http:bearer,1,0,1,2,22862,0.0003,255,52,1,python,3.7,CVE-2023-24329,7.5,active,0,0,15.99
79,/v1/kyc/pan,GET,notifications,1,none,1,1,1,13,245,0.0354,545,360,1,golang,1.21,CVE-2024-24784,6.5,deprecated,0,0,23.08
80,/v1/aa/consent,GET,payments,1,apiKey,1,0,1,2,32186,0.0093,343,17,1,nodejs,14.21,CVE-2023-30581,8.8,active,0,0,17.04
81,/v1/accounts/{accountId}/statement,GET,aa-bridge,1,apiKey,1,0,1,1,16481,0.015,331,39,1,nodejs,20.11,CVE-2024-21892,7.8,active,0,0,18.38
82,/v2/cards/{cardId}/freeze,GET,forex,2,http:bearer,1,0,1,1,12417,0.0098,221,51,1,nodejs,18.19,CVE-2024-22019,7.5,active,0,0,23.29
