source_file,endpoint,method,version_path,version_spec,service,provider,tags,deprecated,auth_scheme,schemas,schema_count,operation_id
swagger.yaml,/v2/feeds,GET,2,3.0.1,item,walmart.com,Version 2,0,none,,0,v2getFeedItemStatus
swagger.yaml,/v2/feeds,POST,2,3.0.1,item,walmart.com,Version 2,0,none,,0,v2doPostMultiPart
swagger.yaml,/v2/feeds/{feedId},GET,2,3.0.1,item,walmart.com,Version 2,0,none,,0,v2getAllItemsStatus
swagger.yaml,/v3/feeds,GET,3,3.0.1,item,walmart.com,Version 3,0,none,,0,v3getFeedItemStatus
swagger.yaml,/v3/feeds,POST,3,3.0.1,item,walmart.com,Version 3,0,none,,0,v3doPostMultiPart
swagger.yaml,/v3/feeds/{feedId},GET,3,3.0.1,item,walmart.com,Version 3,0,none,,0,v3getAllItemsStatus
ideal-postcodes.co.uk.json,/addresses,GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,UK,0,none,AddressLatitudeParam|AddressLongitudeParam|AddressResponse|ApiKeyParam|BadRequestResponse|BiasCountryParam|BiasLonLatParam|BiasPostcodeAreaParam|BiasPostcodeOutwardParam|BiasPostcodeParam|BiasPostcodeSectorParam|BiasPosttownParam|BiasThoroughfareParam|BoxParam|CountryParam|FilterParam|LimitParam|PageParam|PostTownParam|PostcodeAreaParam|PostcodeNotFoundResponse|PostcodeOutwardParam|PostcodeParam|PostcodeSectorParam|PostcodeTypeParam|SmallUserParam|UPRNParam,27,Addresses
ideal-postcodes.co.uk.json,/autocomplete/addresses,GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,Address Search,0,none,ApiKeyParam|AutocompleteResponse|BadRequestResponse|BiasCountryParam|BiasIpParam|BiasLonLatParam|BiasPostcodeAreaParam|BiasPostcodeOutwardParam|BiasPostcodeParam|BiasPostcodeSectorParam|BiasPosttownParam|BiasThoroughfareParam|BoxParam|Context|CountryParam|LimitParam|PostTownParam|PostcodeAreaParam|PostcodeOutwardParam|PostcodeParam|PostcodeSectorParam|PostcodeTypeParam|SmallUserParam|UPRNParam,24,AddressAutocomplete
ideal-postcodes.co.uk.json,/autocomplete/addresses/{address}/gbr,GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,Address Search,0,none,ApiKeyParam|ErrorResponse|GbrResolveAddressResponse,3,Resolve
ideal-postcodes.co.uk.json,/autocomplete/addresses/{address}/usa,GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,Address Search,0,none,ApiKeyParam|ErrorResponse|UsaResolveAddressResponse,3,ResolveUsa
ideal-postcodes.co.uk.json,/cleanse/addresses,POST,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,UK,0,none,ApiKeyParam|BadRequestResponse|CleanseResponse|RateLimitedResponse|UnauthorizedResponse,5,AddressCleanse
ideal-postcodes.co.uk.json,/emails,GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,Emails,0,none,ApiKeyParam|BadRequestResponse|EmailResponse,3,EmailValidation
ideal-postcodes.co.uk.json,/keys/{key},GET,,3.7.0,API Reference - Ideal Postcodes,ideal-postcodes.co.uk,Keys,0,none,ApiKeyParam|ApiKeyResponse|ErrorResponse,3,KeyAvailability
